,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@3,AUC@4,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
1,1,1_0,COMPLETED,Sobol,0.5,0.5069230769230769,0.5426997245179064,0.396969696969697,0.45390070921985815,0.5855855855855856,0.6949152542372881,0.5503875968992249,0.7758620689655172,0.9090909090909092,0.8888888888888888,0.6252525252525253,0.8571428571428571,0.5868686868686869,0.4569023569023569,0.5185185185185186,0.5659259259259258,0.5629629629629629,0.5419103313840156,0.41459369817578773,0.5402275774504119,0.8725061118733092,3,0.0007508428155332961,64,max,128
3,3,3_0,COMPLETED,Sobol,0.5,0.4723076923076923,0.4628099173553719,0.6878787878787879,0.49645390070921985,0.49099099099099097,0.4858757062146893,0.43410852713178294,0.43103448275862066,0.47727272727272724,0.2222222222222222,0.6050505050505051,0.21428571428571427,0.6067340067340068,0.5683501683501683,0.638095238095238,0.6266666666666667,0.6120857699805068,0.5929824561403509,0.60530679933665,0.5597682741181621,0.8864553433737623,2,0.00014041306205462534,64,max,128
16,16,16_0,COMPLETED,BoTorch,0.5,0.7138461538461539,0.5867768595041323,0.5303030303030303,0.4645390070921986,0.509009009009009,0.5028248587570621,0.5271317829457365,0.5862068965517242,0.6818181818181819,0.9444444444444444,0.4353535353535354,0.9285714285714286,0.4552188552188552,0.522895622895623,0.5689594356261023,0.604074074074074,0.5734892787524366,0.5610136452241715,0.7255389718076286,0.5609044562852039,0.7211455853034191,2,0.1,64,max,128
25,25,25_0,COMPLETED,BoTorch,0.5,0.6415384615384615,0.581267217630854,0.5484848484848486,0.6294326241134751,0.6869369369369369,0.711864406779661,0.5348837209302326,0.6293103448275862,0.625,0.4444444444444444,0.45117845117845123,0.5,0.4356902356902357,0.4101010101010101,0.6028218694885362,0.6940740740740741,0.697076023391813,0.674074074074074,0.6633499170812603,0.5830136531042611,0.9456233734805772,2,0.0006688567228262814,16,max,128
18,18,18_0,COMPLETED,BoTorch,0.5,0.5853846153846154,0.6584022038567493,0.6499999999999999,0.6170212765957447,0.6171171171171173,0.6384180790960452,0.6201550387596899,0.5172413793103449,0.5454545454545454,0.1111111111111111,0.5811447811447812,0.0,0.5808080808080809,0.5797979797979799,0.5814814814814815,0.5738888888888889,0.5664717348927876,0.564327485380117,0.6786898839137645,0.5830510727688576,0.9489019238675509,3,0.0001,64,mean,128
21,21,21_0,COMPLETED,BoTorch,0.5,0.6230769230769231,0.6170798898071626,0.5030303030303032,0.5230496453900709,0.4527027027027027,0.4661016949152542,0.47674418604651164,0.4827586206896552,0.4772727272727273,0.5,0.6831649831649832,0.5,0.6737373737373737,0.6245791245791246,0.6162257495590829,0.642962962962963,0.6389863547758284,0.6506822612085771,0.5290215588723052,0.5892922446352832,0.8808422741363214,2,0.0012406800192618639,16,max,128
29,29,29_0,COMPLETED,BoTorch,0.5,0.5907692307692307,0.5123966942148761,0.5818181818181818,0.5709219858156028,0.6081081081081081,0.6497175141242939,0.6666666666666667,0.6379310344827587,0.5,0.7777777777777778,0.669023569023569,0.9285714285714286,0.6434343434343435,0.5946127946127946,0.5862433862433862,0.5751851851851851,0.5879142300194932,0.6019493177387915,0.5422885572139303,0.5916435229968174,0.9002544621828759,2,0.0011717711089641876,64,max,128
11,11,11_0,COMPLETED,BoTorch,0.42845117845117847,0.6138461538461538,0.7658402203856749,0.7666666666666666,0.7588652482269503,0.7387387387387387,0.728813559322034,0.7209302325581395,0.6896551724137931,0.7045454545454546,0.3888888888888889,0.42828282828282827,0.35714285714285715,0.572053872053872,0.5717171717171717,0.5922398589065255,0.6181481481481481,0.6089668615984406,0.6097465886939571,0.5621890547263682,0.6069853763804265,0.8808422741363214,2,0.007156943434250268,32,sum,128
10,10,10_0,COMPLETED,BoTorch,0.5,0.6123076923076922,0.7658402203856749,0.7651515151515151,0.7588652482269503,0.7387387387387387,0.728813559322034,0.7209302325581395,0.6896551724137931,0.7045454545454546,0.3888888888888889,0.42828282828282827,0.35714285714285715,0.5717171717171717,0.5717171717171717,0.5922398589065255,0.6181481481481481,0.6089668615984406,0.6089668615984406,0.5621890547263682,0.6119930278706698,0.8808422741363214,3,0.024064150436070766,16,sum,128
28,28,28_0,COMPLETED,BoTorch,0.42828282828282827,0.6123076923076923,0.7658402203856749,0.7636363636363637,0.7553191489361701,0.7387387387387387,0.728813559322034,0.7209302325581395,0.6896551724137931,0.7045454545454546,0.3888888888888889,0.5717171717171717,0.35714285714285715,0.5717171717171717,0.5727272727272728,0.5922398589065255,0.6181481481481481,0.6089668615984406,0.6089668615984406,0.5621890547263682,0.6171046068982197,0.8808422741363214,2,0.00012058319550012289,16,sum,128
19,19,19_0,COMPLETED,BoTorch,0.44292929292929295,0.6123076923076923,0.7658402203856749,0.7636363636363637,0.7553191489361701,0.7387387387387387,0.728813559322034,0.7209302325581395,0.6896551724137931,0.7045454545454546,0.3888888888888889,0.572053872053872,0.35714285714285715,0.572053872053872,0.572053872053872,0.5925925925925926,0.6185185185185186,0.6093567251461989,0.6101364522417154,0.5630182421227198,0.6184035560566943,0.9489019238675509,2,0.0058926665038474685,64,mean,128
2,2,2_0,COMPLETED,Sobol,0.5712121212121213,0.6130769230769231,0.7658402203856749,0.7651515151515151,0.7553191489361701,0.7387387387387387,0.728813559322034,0.7209302325581395,0.6896551724137931,0.7045454545454546,0.3888888888888889,0.5717171717171717,0.35714285714285715,0.5717171717171717,0.5717171717171717,0.5922398589065255,0.6181481481481481,0.6089668615984406,0.6095516569200781,0.5621890547263682,0.6277217798405093,0.8127826244050921,3,0.029596803379450407,16,sum,128
0,0,0_0,COMPLETED,Sobol,0.5722222222222222,0.6123076923076923,0.7658402203856749,0.7666666666666666,0.7553191489361701,0.7387387387387387,0.728813559322034,0.7209302325581395,0.6896551724137931,0.7045454545454546,0.3888888888888889,0.5717171717171717,0.35714285714285715,0.5717171717171716,0.5717171717171717,0.5922398589065255,0.6181481481481481,0.6089668615984406,0.6097465886939571,0.5621890547263682,0.6278417851471803,0.9489019238675509,2,0.005537727881833665,32,sum,128
23,23,23_0,COMPLETED,BoTorch,0.5717171717171717,0.6138461538461538,0.7658402203856749,0.7651515151515151,0.7588652482269503,0.7387387387387387,0.728813559322034,0.7286821705426356,0.6896551724137931,0.7045454545454546,0.3888888888888889,0.5717171717171717,0.35714285714285715,0.5717171717171717,0.5717171717171717,0.5922398589065255,0.6181481481481481,0.6089668615984406,0.6097465886939571,0.5621890547263682,0.6281501527213386,0.9489019238675509,2,0.005904489634718185,64,sum,128
26,26,26_0,COMPLETED,BoTorch,0.5745791245791246,0.6138461538461538,0.7658402203856749,0.7636363636363637,0.7553191489361701,0.7432432432432433,0.728813559322034,0.7286821705426356,0.6896551724137931,0.7045454545454546,0.3888888888888889,0.5717171717171717,0.35714285714285715,0.5717171717171717,0.5717171717171717,0.5922398589065255,0.6181481481481481,0.6089668615984406,0.6097465886939571,0.5613598673300165,0.6282262970701794,0.9489019238675509,2,0.0001,64,sum,128
24,24,24_0,COMPLETED,BoTorch,0.5717171717171717,0.6138461538461538,0.7658402203856749,0.7636363636363637,0.7588652482269503,0.7432432432432433,0.728813559322034,0.7286821705426356,0.6896551724137931,0.7045454545454546,0.3888888888888889,0.5717171717171717,0.35714285714285715,0.5717171717171717,0.5717171717171717,0.5922398589065255,0.6181481481481481,0.6089668615984406,0.6097465886939571,0.5621890547263682,0.6282324943648617,0.8808422741363214,2,0.00014355349682658802,64,sum,128
15,15,15_0,COMPLETED,BoTorch,0.5,0.6815384615384614,0.8691460055096418,0.8666666666666667,0.7429078014184396,0.6328828828828829,0.5649717514124295,0.5658914728682171,0.5172413793103448,0.36363636363636365,0.2222222222222222,0.622895622895623,0.14285714285714285,0.630976430976431,0.6043771043771043,0.6287477954144621,0.6468518518518519,0.6333333333333332,0.6208576998050683,0.564262023217247,0.6343750396739167,0.8615924843567565,3,0.0001,32,max,128
13,13,13_0,COMPLETED,BoTorch,0.5,0.8123076923076923,0.8236914600550965,0.5060606060606061,0.4964539007092199,0.3423423423423423,0.3050847457627119,0.3023255813953489,0.4310344827586207,0.45454545454545453,0.16666666666666666,0.7161616161616162,0.07142857142857142,0.7164983164983164,0.7434343434343434,0.7883597883597883,0.8081481481481481,0.7664717348927875,0.7440545808966863,0.7056384742951908,0.659518635052149,0.861957091884749,3,0.0001,64,max,128
17,17,17_0,COMPLETED,BoTorch,0.5,0.7123076923076923,0.628099173553719,0.6484848484848486,0.6524822695035462,0.6621621621621622,0.7118644067796611,0.7325581395348837,0.5431034482758621,0.5568181818181819,0.9444444444444444,0.7141414141414141,1.0,0.7134680134680136,0.7023569023569023,0.7195767195767195,0.721111111111111,0.723196881091618,0.7309941520467836,0.7238805970149254,0.6877499740226191,0.8808422741363214,3,0.1,16,max,128
14,14,14_0,COMPLETED,BoTorch,0.5,0.7584615384615385,0.7575757575757577,0.7575757575757576,0.74822695035461,0.7477477477477478,0.711864406779661,0.6124031007751938,0.6551724137931034,0.6363636363636364,0.4444444444444444,0.8518518518518519,0.35714285714285715,0.8521885521885522,0.8457912457912458,0.87336860670194,0.8696296296296296,0.8631578947368421,0.856140350877193,0.812603648424544,0.7804121256763105,0.8734868982625116,2,0.1,16,max,128
