,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@3,AUC@4,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,Weighted_F1,layers,lr,batch_size,aggregation,hid
27,27,27_0,COMPLETED,BoTorch,0.5,0.3598673300165838,0.39875,0.48354037267080746,0.6343434343434343,0.6981707317073171,0.7214285714285714,0.7037037037037037,0.7454545454545455,0.5555555555555556,0.5147058823529411,0.4364508393285371,0.5,0.4423076923076923,0.43181818181818177,0.4473684210526315,0.38235294117647056,0.4,0.42857142857142855,0.4556354916067146,0.43305355715427657,0.4624300559552358,0.4532374100719425,0.4444444444444444,0.4456434852118305,0.39808006535947715,0.48197642538932567,0.8085071783407988,3,0.00015601317117370562,64,max,128
12,12,12_0,COMPLETED,BoTorch,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9427422132671651,2,0.05895676339158408,32,mean,128
3,3,3_0,COMPLETED,Sobol,0.5,0.5116086235489221,0.395,0.3515527950310559,0.3712121212121212,0.3155487804878049,0.28750000000000003,0.29012345679012347,0.26136363636363635,0.48611111111111116,0.5441176470588236,0.6067146282973621,0.625,0.49038461538461536,0.48863636363636365,0.47368421052631576,0.5,0.4666666666666667,0.44642857142857145,0.627498001598721,0.6306954436450839,0.6266986410871302,0.5915267785771383,0.6250999200639489,0.551558752997602,0.553921568627451,0.5107978392927157,0.8825328614081603,2,0.00014041306205462534,64,max,128
20,20,20_0,COMPLETED,BoTorch,0.5,0.3855721393034826,0.3235,0.41677018633540375,0.6303030303030303,0.711890243902439,0.5928571428571429,0.6327160493827161,0.6136363636363636,0.8194444444444444,0.75,0.4464428457234213,0.7666666666666666,0.8461538461538461,0.75,0.7368421052631579,0.7058823529411764,0.6333333333333333,0.5714285714285714,0.4468425259792166,0.44724220623501204,0.43725019984012786,0.44084732214228617,0.5543565147881695,0.5379696243005595,0.4979575163398693,0.5117171409027484,0.5878663063118804,2,0.0001747482148077577,64,max,128
7,7,7_0,COMPLETED,Sobol,0.3828936850519584,0.6169154228855721,0.63325,0.6049689440993788,0.6535353535353535,0.6905487804878049,0.6991071428571429,0.7083333333333334,0.6295454545454545,0.1111111111111111,0.2647058823529412,0.38049560351718625,0.3,0.28846153846153844,0.2954545454545454,0.3421052631578947,0.38235294117647056,0.4,0.42857142857142855,0.6167066346922462,0.3884892086330935,0.38369304556354916,0.38329336530775376,0.6171063149480416,0.6167066346922462,0.6184640522875817,0.5210394328472359,0.8825328614081603,2,0.0020555726219821735,16,sum,128
6,6,6_0,COMPLETED,Sobol,0.5,0.42433665008291876,0.47825,0.39968944099378884,0.6025252525252525,0.506859756097561,0.5455357142857142,0.6172839506172839,0.6590909090909091,0.4375,0.3970588235294118,0.592326139088729,0.4083333333333333,0.4230769230769231,0.3977272727272727,0.4342105263157895,0.3529411764705882,0.4,0.42857142857142855,0.5913269384492406,0.6001199040767387,0.605515587529976,0.5871302957633893,0.613709032773781,0.63449240607514,0.5696486928104575,0.5434950559094817,0.9275407461591396,3,0.011085610714303211,64,max,128
15,15,15_0,COMPLETED,BoTorch,0.3826938449240608,0.6165008291873963,0.6299999999999999,0.5968944099378882,0.6424242424242425,0.663109756097561,0.6714285714285714,0.6790123456790124,0.6545454545454545,0.2777777777777778,0.29411764705882354,0.3828936850519584,0.3333333333333333,0.3076923076923077,0.3181818181818182,0.3421052631578947,0.38235294117647056,0.4,0.42857142857142855,0.38329336530775376,0.6171063149480415,0.6171063149480415,0.6167066346922462,0.6167066346922462,0.6167066346922462,0.6176470588235294,0.5513789066812576,0.23797539586433014,3,0.027016060696029326,64,sum,128
16,16,16_0,COMPLETED,BoTorch,0.5,0.4456882255389718,0.40349999999999997,0.3484472049689441,0.4888888888888889,0.37347560975609756,0.3928571428571429,0.5493827160493827,0.5454545454545454,0.6111111111111112,0.6176470588235294,0.5971223021582734,0.6666666666666667,0.6923076923076923,0.7045454545454546,0.763157894736842,0.8235294117647058,0.7666666666666666,0.75,0.6103117505995204,0.6013189448441248,0.5851318944844124,0.5731414868105515,0.6374900079936051,0.6674660271782574,0.6147875816993464,0.5514464584837426,0.8564533787538312,3,0.009361751580183654,64,max,128
26,26,26_0,COMPLETED,BoTorch,0.3826938449240607,0.6165008291873963,0.6299999999999999,0.6012422360248447,0.6454545454545455,0.6676829268292683,0.6732142857142858,0.6820987654320988,0.6590909090909092,0.2777777777777778,0.29411764705882354,0.3828936850519584,0.3333333333333333,0.28846153846153844,0.2954545454545454,0.3421052631578947,0.38235294117647056,0.4,0.42857142857142855,0.38329336530775376,0.6167066346922462,0.6163069544364509,0.6163069544364509,0.6165067945643485,0.6163069544364509,0.6172385620915033,0.5515250919209655,0.5325071290129068,3,0.030499430811260612,32,sum,128
2,2,2_0,COMPLETED,Sobol,0.5,0.6173300165837479,0.6305000000000001,0.6006211180124224,0.6454545454545455,0.6676829268292683,0.6767857142857143,0.6851851851851851,0.6545454545454545,0.2777777777777778,0.27941176470588236,0.6171063149480415,0.3,0.28846153846153844,0.2954545454545454,0.3421052631578947,0.38235294117647056,0.4,0.42857142857142855,0.6167066346922462,0.3828936850519584,0.3828936850519584,0.6167066346922462,0.6167066346922462,0.6163069544364508,0.6180555555555556,0.5586549902513396,0.3010467592950239,3,0.029596803379450407,16,sum,128
13,13,13_0,COMPLETED,BoTorch,0.3828936850519584,0.6090381426202321,0.617,0.6037267080745341,0.6242424242424243,0.4237804878048781,0.36964285714285716,0.35185185185185186,0.37272727272727274,0.7083333333333333,0.22058823529411764,0.6167066346922463,0.33333333333333337,0.6057692307692308,0.6590909090909091,0.631578947368421,0.5882352941176471,0.6,0.5714285714285714,0.617505995203837,0.6167066346922463,0.6169064748201439,0.6169064748201439,0.6163069544364509,0.6157074340527579,0.6172385620915032,0.5662825973654808,0.8825328614081603,3,0.025464986236175702,16,sum,128
4,4,4_0,COMPLETED,Sobol,0.6119104716227018,0.6169154228855721,0.6305,0.6012422360248447,0.6454545454545455,0.6661585365853658,0.6714285714285714,0.6790123456790124,0.6590909090909092,0.2777777777777778,0.29411764705882354,0.6171063149480415,0.3333333333333333,0.3076923076923077,0.3181818181818182,0.3421052631578947,0.38235294117647056,0.4,0.42857142857142855,0.6171063149480415,0.6171063149480415,0.6171063149480415,0.6167066346922462,0.6167066346922462,0.6163069544364508,0.6176470588235294,0.5966733472418986,0.7732065881048319,2,0.05285635217614035,32,mean,128
14,14,14_0,COMPLETED,BoTorch,0.6181055155875299,0.6169154228855721,0.6295,0.5993788819875776,0.6444444444444445,0.6661585365853658,0.6732142857142858,0.6790123456790124,0.6590909090909092,0.2777777777777778,0.29411764705882354,0.61810551558753,0.3333333333333333,0.3076923076923077,0.3181818181818182,0.3421052631578947,0.38235294117647056,0.4,0.42857142857142855,0.6167066346922463,0.6167066346922463,0.6167066346922463,0.6167066346922463,0.6167066346922463,0.6163069544364509,0.6172385620915033,0.5968881902549829,0.5715048155305262,3,0.02707789896681379,32,sum,128
