,trial_index,arm_name,trial_status,generation_method,AUC@1,AUC@10,AUC@11,AUC@12,AUC@13,AUC@14,AUC@15,AUC@16,AUC@17,AUC@18,AUC@19,AUC@2,AUC@20,AUC@21,AUC@22,AUC@23,AUC@24,AUC@25,AUC@26,AUC@27,AUC@28,AUC@29,AUC@3,AUC@30,AUC@4,AUC@5,AUC@6,AUC@7,AUC@8,AUC@9,Weighted_AUC,layers,lr,batch_size,aggregation,hid
21,21,21_0,COMPLETED,BoTorch,0.46565415156888446,0.5152380952380953,0.5151515151515151,0.5129329004329004,0.5146688560481664,0.519656699889258,0.5235880398671096,0.5227574750830565,0.5258832737030411,0.5239825581395348,0.5323529411764706,0.510137810866466,0.534083044982699,0.531705882352941,0.531641604010025,0.5392080745341615,0.5381219903691814,0.4880114017437961,0.4697619047619047,0.4823431657665143,0.4740853658536585,0.5316358024691358,0.509774500557318,0.5117845117845118,0.5110531991373113,0.5122067518596224,0.5108187728565624,0.5093826907301067,0.5098532494758911,0.5144973544973545,0.5138346298220449,3,0.0001,16,max,128
14,14,14_0,COMPLETED,BoTorch,0.5530028525171538,0.5303703703703704,0.5204545454545455,0.5196969696969698,0.5123152709359606,0.5078626799557033,0.5078626799557032,0.5118493909191584,0.5080500894454383,0.507770572450805,0.5029411764705882,0.5578964042452084,0.5080738177623991,0.5102352941176471,0.5008771929824561,0.49133022774327123,0.49371321562332804,0.5152582159624413,0.4978571428571428,0.4603240548400499,0.4532520325203252,0.32638888888888895,0.5807253708308325,0.33557800224466894,0.5692846872753414,0.5460614152202937,0.5240755790329134,0.52850697292863,0.5272536687631026,0.5313227513227513,0.5139335039195039,2,0.07671021454633442,64,sum,128
26,26,26_0,COMPLETED,BoTorch,0.5283709814200911,0.5322751322751322,0.525,0.523917748917749,0.524575807334428,0.5277962347729789,0.5294573643410853,0.5295681063122923,0.5344364937388193,0.5380143112701252,0.543552036199095,0.5502930460953588,0.5452133794694348,0.5412941176470588,0.5427318295739348,0.552536231884058,0.5513643659711075,0.4944668008048289,0.47452380952380957,0.4682176983797258,0.45934959349593496,0.4992283950617284,0.5579182028637572,0.4769921436588104,0.5560747663551402,0.5400534045393858,0.5272247054043071,0.5341468416735029,0.5312368972746331,0.5319047619047619,0.5299847008791956,2,0.0057306855355890585,16,max,128
5,5,5_0,COMPLETED,Sobol,0.5735101380001542,0.5595767195767196,0.5492424242424243,0.5486471861471862,0.5413245758073344,0.5373200442967885,0.5370431893687708,0.5403654485049834,0.537231663685152,0.5362254025044723,0.5316742081447964,0.598922857595438,0.5354094579008074,0.5391764705882354,0.5323308270676691,0.5224508281573499,0.5293606206527555,0.5440979208584843,0.5104761904761905,0.47403406730369757,0.4690040650406504,0.3341049382716049,0.6061476464031552,0.33445566778900115,0.5886053199137311,0.5762921991226396,0.5507415684681024,0.5568088597210828,0.5558700209643607,0.5598941798941799,0.5408559631857552,3,0.00043134529457281354,16,sum,128
23,23,23_0,COMPLETED,BoTorch,0.636959370904325,0.6446560846560846,0.6361471861471861,0.6382034632034632,0.6337164750957853,0.630454042081949,0.6320044296788483,0.6343300110741972,0.6303667262969587,0.6233228980322003,0.618552036199095,0.661808965626485,0.6164936562860438,0.6214117647058823,0.6043859649122808,0.5969202898550724,0.5985821294810059,0.6331321260898726,0.6288095238095238,0.6389696717906107,0.6382113821138211,0.6087962962962964,0.6612363885792677,0.6049382716049383,0.6488138030194105,0.6195880221247377,0.6014831369362047,0.632383100902379,0.6229559748427673,0.6444444444444444,0.6292043146316704,2,0.0013928610711654154,32,sum,128
25,25,25_0,COMPLETED,BoTorch,0.5825688073394495,0.6537566137566136,0.6487012987012988,0.6487012987012988,0.6434592227695676,0.638095238095238,0.6392026578073089,0.6458471760797343,0.6421064400715563,0.6378577817531306,0.633371040723982,0.6569776651354348,0.6304498269896194,0.6355294117647058,0.6305764411027569,0.6330227743271222,0.6311530230069556,0.6470489604292422,0.6680952380952381,0.6582883257166597,0.668191056910569,0.5910493827160495,0.6735831261253535,0.5909090909090909,0.6448598130841121,0.6491512492847606,0.6462819991873222,0.6348441345365055,0.6356394129979035,0.6535449735449735,0.640467011526828,2,0.06530022445528111,16,max,128
11,11,11_0,COMPLETED,BoTorch,0.7078868244545524,0.7188359788359788,0.7095238095238097,0.7155844155844157,0.715927750410509,0.7174972314507199,0.7212624584717608,0.7291251384274641,0.7256261180679786,0.7233899821109123,0.7197963800904978,0.7367337240614605,0.7171856978085351,0.7176470588235295,0.706641604010025,0.6999223602484472,0.7046548956661316,0.7246814218645204,0.7080952380952381,0.7179061071873701,0.711890243902439,0.6774691358024693,0.7408042527651548,0.6879910213243547,0.7280733285406181,0.6942590120160214,0.6936204794798863,0.7186218211648893,0.709643605870021,0.7263492063492064,0.7156039825191142,2,0.014230607424270588,16,sum,128
0,0,0_0,COMPLETED,Sobol,0.7009482692159432,0.8130158730158731,0.8096320346320346,0.8114718614718613,0.8100711548987412,0.8100775193798451,0.8093023255813954,0.8120708748615727,0.8126118067978534,0.8092576028622539,0.8102375565610861,0.7469507365753206,0.8141868512110727,0.8151764705882353,0.819172932330827,0.8165113871635611,0.8290529695024077,0.8095238095238094,0.7671428571428571,0.7370170336518489,0.7083333333333334,0.6157407407407408,0.7637829031981479,0.5813692480359147,0.7781272465851905,0.7836162502384131,0.7831166192604633,0.7979901558654635,0.7969601677148848,0.812063492063492,0.7865275503307759,2,0.005537727881833665,32,sum,128
7,7,7_0,COMPLETED,Sobol,0.7154421401588159,0.8044444444444445,0.7993506493506494,0.801948051948052,0.8003284072249588,0.8022148394241418,0.8034330011074198,0.8093023255813954,0.8100402504472272,0.8051207513416816,0.8038461538461539,0.7661175352447331,0.8070357554786619,0.8107058823529412,0.8086466165413534,0.807712215320911,0.8199571963616907,0.8138832997987927,0.7842857142857141,0.770253427503116,0.7484756097560976,0.6851851851851852,0.7737288862213839,0.6857463524130192,0.7830697340043135,0.7775128743086018,0.772856562373019,0.7971698113207547,0.7973794549266248,0.802962962962963,0.7889013238455826,2,0.0020555726219821735,16,sum,128
13,13,13_0,COMPLETED,BoTorch,0.6378845116028062,0.8628571428571428,0.8647186147186147,0.8718614718614719,0.8725779967159278,0.8702104097452934,0.8673311184939093,0.8631229235880399,0.8602415026833632,0.8646019677996423,0.8644796380090498,0.7807698400126722,0.8697808535178777,0.8732941176470588,0.8817042606516291,0.8858695652173912,0.8976725521669342,0.8943661971830985,0.8842857142857142,0.8890735355213959,0.8871951219512195,0.8510802469135803,0.8033953528251735,0.8170594837261504,0.8076024442846873,0.8132748426473393,0.8410199106054449,0.8595159967186218,0.8416142557651992,0.8586243386243385,0.8473623725756846,2,0.1,16,sum,128
