trial_id,prefix_1_mae,prefix_1_n,prefix_2_mae,prefix_2_n,prefix_3_mae,prefix_3_n,prefix_4_mae,prefix_4_n,prefix_5_mae,prefix_5_n,prefix_6_mae,prefix_6_n,prefix_7_mae,prefix_7_n,prefix_8_mae,prefix_8_n,prefix_9_mae,prefix_9_n,prefix_10_mae,prefix_10_n,prefix_11_mae,prefix_11_n,prefix_12_mae,prefix_12_n,prefix_13_mae,prefix_13_n,prefix_14_mae,prefix_14_n,prefix_15_mae,prefix_15_n,prefix_16_mae,prefix_16_n,prefix_17_mae,prefix_17_n,prefix_18_mae,prefix_18_n,prefix_19_mae,prefix_19_n,prefix_20_mae,prefix_20_n
12,0.46883210358796296,115,0.8824774848090278,115,2.580649956597222,115,8.129379340277778,115,15.352067418981482,115,44.60749421296296,115,57.47224537037037,115,60.030208333333334,115,65.11747106481481,114,66.98121527777778,114,68.14053819444445,114,69.55394675925926,114,72.87304398148149,109,73.58791087962963,109,74.26510416666666,108,74.36820023148148,108,75.57048032407407,106,76.10734375,106,78.13431712962964,104,80.80616898148148,100
13,0.4742192925347222,115,0.8823158998842593,115,2.580641456886574,115,8.129146412037038,115,15.352515914351851,115,44.61219907407408,115,57.47865162037037,115,60.03683449074074,115,65.12497106481482,114,66.98924189814815,114,68.14898148148148,114,69.56199074074074,114,72.88085648148149,109,73.5956076388889,109,74.2722974537037,108,74.37497106481482,108,75.57706018518519,106,76.11380208333334,106,78.14092013888889,104,80.81275462962962,100
14,0.24092683015046296,115,0.9056774450231482,115,2.6199339916087965,115,8.186675347222222,115,15.426941550925926,115,44.72424189814815,115,57.617222222222225,115,60.18464699074074,115,65.27846643518518,114,67.14799768518519,114,68.30844328703704,114,69.72328703703704,114,73.04627893518519,109,73.76135416666666,109,74.43951967592592,108,74.54235532407408,108,75.74414351851851,106,76.28202546296296,106,78.30957175925926,104,80.9818287037037,100
15,0.4496843804253472,115,0.8785415762442129,115,2.578404224537037,115,8.128439670138889,115,15.353816550925925,115,44.61717881944445,115,57.48501736111111,115,60.04435185185185,115,65.1327951388889,114,66.99749421296296,114,68.1564525462963,114,69.57028356481482,114,72.89023726851852,109,73.60553240740741,109,74.2828761574074,108,74.38595486111112,108,75.58814814814815,106,76.12518518518519,106,78.1521412037037,104,80.82417245370371,100
16,0.4373498083043981,115,0.8777083333333333,115,2.578773871527778,115,8.129789496527778,115,15.358116319444445,115,44.6304224537037,115,57.50564814814815,115,60.06778935185185,115,65.15849537037037,114,67.02497685185185,114,68.18388310185185,114,69.59831018518518,114,72.91907407407408,109,73.63450231481481,109,74.31213541666666,108,74.41488425925925,108,75.61686921296297,106,76.15430555555555,106,78.18117476851852,104,80.85295717592592,100
17,0.43193784360532406,115,0.8887506329571759,115,2.589519675925926,115,8.140925925925925,115,15.367251157407408,115,44.636296296296294,115,57.508466435185184,115,60.06773726851852,115,65.15721064814815,114,67.02259259259259,114,68.17969328703704,114,69.5932175925926,114,72.91378472222222,109,73.62901041666667,109,74.3063599537037,108,74.40913773148148,108,75.61112268518518,106,76.1484375,106,78.17487268518518,104,80.84663773148148,100
18,0.24124195240162036,115,0.9239508282696759,115,2.635617947048611,115,8.201040219907407,115,15.441848958333333,115,44.74171875,115,57.635162037037034,115,60.20197916666667,115,65.29607638888889,114,67.16572916666667,114,68.32641203703703,114,69.7410474537037,114,73.06394675925925,109,73.77889467592593,109,74.45691550925926,108,74.5597511574074,108,75.76144675925926,106,76.29912615740741,106,78.32672453703704,104,80.99886574074074,100
19,0.33216776529947917,115,0.8707458043981482,115,2.57070728443287,115,8.126945891203704,115,15.358580729166667,115,44.63650752314815,115,57.51600115740741,115,60.076087962962966,115,65.16847222222222,114,67.03414351851852,114,68.19427662037037,114,69.60734953703704,114,72.92873263888889,109,73.64397569444445,109,74.32224537037037,108,74.42548032407407,108,75.62751736111112,106,76.16469328703704,106,78.19221643518519,104,80.86434027777777,100
20,0.4436036964699074,115,0.8759101019965277,115,2.5749204282407407,115,8.124967447916667,115,15.352973090277779,115,44.62310763888889,115,57.49616319444444,115,60.05656828703704,115,65.14631944444444,114,67.01164930555555,114,68.17075231481482,114,69.58473958333333,114,72.9047337962963,109,73.6195775462963,109,74.29674189814814,108,74.39922453703704,108,75.60096643518519,106,76.13784722222222,106,78.1646701388889,104,80.83610532407407,100
21,0.339997242115162,115,0.8707005027488426,115,2.569720232928241,115,8.125214120370371,115,15.355159143518518,115,44.62965856481482,115,57.50653935185185,115,60.06548611111111,115,65.15742476851852,114,67.02241319444444,114,68.18236689814815,114,69.59566550925926,114,72.91703703703703,109,73.63225694444445,109,74.310625,108,74.41384837962963,108,75.6159548611111,106,76.15300347222222,106,78.1803125,104,80.85237268518519,100
22,0.4129644549334491,115,0.8827373589409723,115,2.5828119574652777,115,8.140278501157407,115,15.3727734375,115,44.65196180555556,115,57.532609953703705,115,60.09600694444445,115,65.18768518518519,114,67.05476851851851,114,68.21427083333333,114,69.6287962962963,114,72.95052662037037,109,73.66548611111111,109,74.34334490740741,108,74.4459375,108,75.64768518518518,106,76.1853761574074,106,78.21237268518519,104,80.88400462962963,100
23,0.3600592041015625,115,0.8720080114293981,115,2.5685353370949073,115,8.121953125,115,15.350999710648148,115,44.620240162037035,115,57.4927662037037,115,60.04982060185185,115,65.14079282407407,114,67.00493634259259,114,68.16458912037037,114,69.57692708333333,114,72.89734375,109,73.61245949074075,109,74.29050347222223,108,74.39376736111112,108,75.59588541666666,106,76.13265625,106,78.15995949074075,104,80.83214699074074,100
24,0.2853961859809028,115,0.9520921947337962,115,2.6600184461805556,115,8.231019965277778,115,15.470655381944445,115,44.76664351851852,115,57.659681712962964,115,60.22493634259259,115,65.31696180555555,114,67.18456018518519,114,68.34358217592593,114,69.75866898148148,114,73.0817824074074,109,73.79648726851852,109,74.47409722222223,108,74.57647569444444,108,75.77784143518518,106,76.31571759259259,106,78.34262152777778,104,81.01441550925927,100
25,0.3734530752676505,115,0.8969862196180556,115,2.5954311342592593,115,8.154588396990741,115,15.385580150462962,115,44.66237268518518,115,57.54340277777778,115,60.104496527777776,115,65.19548611111111,114,67.06112268518518,114,68.21881365740741,114,69.63263310185185,114,72.95449652777778,109,73.66928819444445,109,74.34684027777777,108,74.44960069444444,108,75.65134837962962,106,76.18904513888889,106,78.21542824074074,104,80.88708333333334,100
26,0.4816550925925926,115,0.8859288194444445,115,2.5808393012152777,115,8.129079137731482,115,15.3530078125,115,44.605324074074076,115,57.470364583333335,115,60.02928819444445,115,65.11691550925926,114,66.98120949074074,114,68.14074652777778,114,69.55409143518519,114,72.87282986111111,109,73.58768518518518,109,74.26459490740741,108,74.36774305555555,108,75.57003472222222,106,76.10697337962964,106,78.13425925925925,104,80.80625,100
27,0.3823998119212963,115,0.8814094147858796,115,2.5721922019675927,115,8.12146773726852,115,15.345358796296296,115,44.60233506944444,115,57.46737268518518,115,60.01979166666667,115,65.10956597222223,114,66.97241898148148,114,68.13215277777778,114,69.5429861111111,114,72.86133101851851,109,73.57597222222222,109,74.25358217592593,108,74.35710069444444,108,75.55953703703703,106,76.09556134259259,106,78.12306134259259,104,80.79530092592593,100
28,0.40066008391203706,115,0.9200953052662038,115,2.597623517071759,115,8.143623408564816,115,15.362686631944445,115,44.587745949074076,115,57.436197916666664,115,59.98693287037037,115,65.07041087962963,114,66.92967592592592,114,68.08859375,114,69.4978125,114,72.81360532407408,109,73.5274363425926,109,74.20356481481481,108,74.30692708333333,108,75.50938657407407,106,76.04474537037036,106,78.07160300925926,104,80.74402199074073,100
29,0.38460263852719906,115,0.9080054615162036,115,2.588848198784722,115,8.137185329861111,115,15.35752025462963,115,44.59480902777778,115,57.451770833333335,115,60.005144675925926,115,65.09070023148148,114,66.95197916666666,114,68.11121527777777,114,69.52175925925926,114,72.83890046296297,109,73.55293402777778,109,74.22953125,108,74.33285300925925,108,75.53519675925926,106,76.07096643518518,106,78.09795717592593,104,80.77044560185185,100
30,0.30878178349247687,115,0.8750397858796296,115,2.5757544849537037,115,8.133813657407407,115,15.366529224537038,115,44.647456597222224,115,57.530590277777776,115,60.09328703703704,115,65.18596064814815,114,67.0527662037037,114,68.21259259259259,114,69.6266724537037,114,72.9491087962963,109,73.66435185185185,109,74.34272569444444,108,74.44600694444445,108,75.64810185185185,106,76.18563078703704,106,78.21299189814815,104,80.88515625,100
