trial_id,prefix_1_mae,prefix_1_n,prefix_2_mae,prefix_2_n,prefix_3_mae,prefix_3_n,prefix_4_mae,prefix_4_n,prefix_5_mae,prefix_5_n,prefix_6_mae,prefix_6_n,prefix_7_mae,prefix_7_n,prefix_8_mae,prefix_8_n,prefix_9_mae,prefix_9_n,prefix_10_mae,prefix_10_n,prefix_11_mae,prefix_11_n,prefix_12_mae,prefix_12_n,prefix_13_mae,prefix_13_n,prefix_14_mae,prefix_14_n,prefix_15_mae,prefix_15_n,prefix_16_mae,prefix_16_n,prefix_17_mae,prefix_17_n,prefix_18_mae,prefix_18_n,prefix_19_mae,prefix_19_n,prefix_20_mae,prefix_20_n
11,1.1437898763020833,1025,1.1137508138020833,1025,1.109886429398148,1025,1.1084425636574073,1025,1.1113823784722223,1025,1.0745744719328705,1025,1.0758093713831018,1025,1.0459763816550927,1025,0.6948236762152777,1025,0.37490159776475696,1006,0.6313972529658565,491,1.7878716362847222,148,0.8814326533564815,148,0.8808502423321759,148,3.0666051793981484,38,0.25039005985966434,38,0.25764967176649306,38,0.9773972800925926,6,0.12409698486328125,6,0.12534939236111112,6
12,1.1069020363136575,1025,1.0819740125868056,1025,1.0782853190104167,1025,1.0770567491319445,1025,1.0798536964699075,1025,1.046526511863426,1025,1.04769287109375,1025,1.0188282154224537,1025,0.7256596317997686,1025,0.43965806749131947,1006,0.6837594491464121,491,1.7860461877893519,148,0.9202340133101852,148,0.919290455005787,148,3.0049320023148147,38,0.2982484718605324,38,0.30654466417100695,38,0.9033039460358796,6,0.19774574562355324,6,0.19886305067274307,6
13,1.0561060474537036,1025,1.0318675853587962,1025,1.0243217411747685,1025,1.0227624059606482,1025,1.0245849609375,1025,1.000559714988426,1025,1.001127658420139,1025,0.9741824905960648,1025,0.8211618381076389,1025,0.6239893934461805,1006,0.8350138346354167,491,1.781705910011574,148,1.0389447699652778,148,1.0374635597511574,148,2.8273093894675925,38,0.451278076171875,38,0.45973316333912034,38,0.6808445909288194,6,0.42269056532118054,6,0.42382450810185185,6
14,0.9562348090277778,1025,0.9473994502314815,1025,0.9583031322337963,1025,0.967754810474537,1025,0.9546697771990741,1025,0.965603931568287,1025,0.9610157154224537,1025,0.9371229383680556,1025,1.0743781647858797,1025,1.0358829752604166,1006,1.1763329173900463,491,1.828062789351852,148,1.2872752097800926,148,1.2831496853298612,148,2.473453414351852,38,0.8402351888020834,38,0.8463692672164352,38,0.7838028971354166,6,0.8776002785011574,6,0.8767851200810185,6
15,1.0143810583043982,1025,0.9887620261863426,1025,0.9751723451967592,1025,0.9722787362557871,1025,0.9752747938368056,1025,0.9685923032407407,1025,0.9695792643229166,1025,0.9459051287615741,1025,0.9540086082175926,1025,0.8485984519675925,1006,1.0215304904513889,491,1.8022144458912037,148,1.1772391312210648,148,1.1749483687789353,148,2.626987123842593,38,0.670498046875,38,0.678537914134838,38,0.7172621437355324,6,0.6758037199797454,6,0.6768741409866899,6
16,0.9781683123553241,1025,0.9482260923032407,1025,0.9605769856770834,1025,0.9660337999131945,1025,0.958406665943287,1025,0.9743260814525463,1025,0.9704782443576389,1025,0.9473102936921296,1025,1.10968994140625,1025,1.0914231589988426,1006,1.2285230396412037,491,1.8484828920717593,148,1.3328234411168982,148,1.3291030092592593,148,2.419376446759259,38,0.9194712094907408,38,0.9270850513599537,38,0.8112246817129629,6,0.9612007197627315,6,0.9621163375289352,6
17,1.0883842411747686,1025,1.0713237847222221,1025,1.0639351851851853,1025,1.0619056532118056,1025,1.0635344328703704,1025,1.0310350658275462,1025,1.0316099717881944,1025,1.0029336660879629,1025,0.7527970377604166,1025,0.49698866102430556,1006,0.7316247106481482,491,1.783610568576389,148,0.9588111255787037,148,0.958104564525463,148,2.9435505280671297,38,0.3506572582103588,38,0.35936955204716436,38,0.8291168438946759,6,0.2736885353370949,6,0.27497587981047455,6
18,0.9579870153356481,1025,0.9574660915798611,1025,0.9861261212384259,1025,0.9941539171006945,1025,0.9855617042824074,1025,1.0150144675925925,1025,1.0107798032407407,1025,0.9939531792534723,1025,1.1629156720196758,1025,1.1624519856770834,1006,1.3389072446469907,491,1.9242842158564815,148,1.5517531105324074,148,1.5476066984953705,148,2.1209749348958336,38,1.375492531105324,38,1.3825536205150464,38,1.3024059606481482,6,1.598544017650463,6,1.5991109664351852,6
19,1.0575266746238425,1025,1.0248844401041666,1025,1.02038818359375,1025,1.0188978407118054,1025,1.0221782769097223,1025,0.9994085467303241,1025,1.000499584056713,1025,0.974081127025463,1025,0.8162141927083333,1025,0.6122624602141203,1006,0.8231355794270834,491,1.7813114872685185,148,1.0254839409722223,148,1.0234267397280092,148,2.848472222222222,38,0.42866789641203706,38,0.4364442726417824,38,0.7056798412181713,6,0.3943202492042824,6,0.39502843786168984,6
20,0.9843848560474537,1025,0.9473436595775463,1025,0.955361328125,1025,0.9591710069444445,1025,0.9500858109085648,1025,0.9605670392071759,1025,0.9577888093171296,1025,0.9344259982638888,1025,1.0653751627604167,1025,1.0230250831886574,1006,1.1646472620081019,491,1.8241169343171297,148,1.2770213939525463,148,1.2723187934027778,148,2.4860606553819444,38,0.8254299587673611,38,0.8312478298611111,38,0.783543113425926,6,0.8617082609953703,6,0.8615475802951389,6
21,0.9799839952256945,1025,0.9483237485532408,1025,0.9574791124131945,1025,0.9617118778935185,1025,0.9508799913194445,1025,0.961454173900463,1025,0.958193359375,1025,0.9348905888310185,1025,1.06538818359375,1025,1.02466552734375,1006,1.168164966724537,491,1.8306906467013888,148,1.2901348198784721,148,1.2858645290798612,148,2.4711405888310187,38,0.8423018844039352,38,0.8480617042824075,38,0.78992431640625,6,0.8836267541956019,6,0.8832439959490741,6
22,1.206800220630787,1025,1.2004805953414353,1025,1.1972357855902778,1025,1.1965024594907407,1025,1.1968153211805554,1025,1.1377713577835649,1025,1.1378134042245371,1025,1.1045012297453705,1025,0.6652846950954862,1025,0.2961372432002315,1006,0.5698658582899305,491,1.8012521701388888,148,0.8345641637731481,148,0.8345104528356482,148,3.147359664351852,38,0.20008133499710648,38,0.19862503616898147,38,1.0674152741608796,6,0.03478709750705295,6,0.03626193576388889,6
23,0.9688352683738426,1025,0.9513415075231482,1025,0.9468040183738425,1025,0.9487268518518519,1025,0.9466422526041667,1025,0.9551134801793981,1025,0.9538268590856481,1025,0.9315285915798611,1025,1.027059913917824,1025,0.9622461841724537,1006,1.1099396882233796,491,1.8110087528935186,148,1.2357088216145833,148,1.2312171766493056,148,2.5471048538773147,38,0.7568929036458333,38,0.7625368019386574,38,0.7531979257089121,6,0.7764214409722222,6,0.775444968894676,6
24,1.0805977828414353,1025,1.0494960756655092,1025,1.0444179506655094,1025,1.0426961263020833,1025,1.046506980613426,1025,1.0177443214699073,1025,1.019329788773148,1025,0.992208839699074,1025,0.7693485062210648,1025,0.5276185890480324,1006,0.7551206687644676,491,1.7837355324074073,148,0.9742217339409722,148,0.9727135778356482,148,2.9241791449652776,38,0.36475660536024307,38,0.3728050853587963,38,0.8034882269965278,6,0.29689218026620373,6,0.29791438349971067,6
25,1.0728334780092592,1025,1.060663429542824,1025,1.0523084852430555,1025,1.0490871853298611,1025,1.0533250144675925,1025,1.0232948133680555,1025,1.0252552625868057,1025,0.9980905490451389,1025,0.7597311740451389,1025,0.5065369104456019,1006,0.7367624240451389,491,1.7835951967592591,148,0.9605350296585649,148,0.9589067925347222,148,2.943379267939815,38,0.3497915988498264,38,0.35775071885850696,38,0.83081787109375,6,0.27221752025462964,6,0.2728957790798611,6
26,1.0341886393229167,1025,1.0246611870659723,1025,1.01725830078125,1025,1.01444091796875,1025,1.0185380497685186,1025,0.9971681495949074,1025,0.9985567672164352,1025,0.9725424081307871,1025,0.8239283130787037,1025,0.6227754720052083,1006,0.8296591073495371,491,1.7816272424768518,148,1.032067509403935,148,1.0299337203414352,148,2.8408373119212964,38,0.43671242042824077,38,0.44437739619502314,38,0.7015565773292824,6,0.39738317418981484,6,0.3978904441550926,6
27,1.2230078125,1025,1.2193644205729166,1025,1.218717086226852,1025,1.2184524197048612,1025,1.2188131148726853,1025,1.1584410264756944,1025,1.1585850694444444,1025,1.1246873191550926,1025,0.6628085666232639,1025,0.2783793583622685,1006,0.5583506492332176,491,1.8198267505787038,148,0.8225620298032408,148,0.822548828125,148,3.172132884837963,38,0.18667309796368634,38,0.18148504186559605,38,1.0924758572048612,6,0.009404260847303602,6,0.010879604198314526,6
28,0.9563113064236111,1025,0.9469838686342592,1025,0.9563966652199074,1025,0.9650406901041667,1025,0.9519629810474537,1025,0.9620868598090278,1025,0.9578466796875,1025,0.9339842845775463,1025,1.0587330005787037,1025,1.0079918981481482,1006,1.1472016963252314,491,1.8207837818287036,148,1.2703908962673611,148,1.265694263599537,148,2.5024743200231483,38,0.8056382016782407,38,0.8104772497106482,38,0.7715897171585648,6,0.8260236725983796,6,0.825333568431713,6
29,0.9529104275173611,1025,0.9488585973668981,1025,0.9648511646412037,1025,0.9754925311053241,1025,0.9594102647569445,1025,0.9693035662615741,1025,0.9629446976273148,1025,0.9382760959201389,1025,1.08017578125,1025,1.0389993851273147,1006,1.1736640082465277,491,1.8261107494212963,148,1.2828834816261574,148,1.277273853443287,148,2.480817238136574,38,0.8309620949074074,38,0.83517333984375,38,0.7804693829571759,6,0.8553294994212963,6,0.8536064995659722,6
30,0.9534650788483796,1025,0.9500514503761575,1025,0.970370189525463,1025,0.9830147750289352,1025,0.9653380895543981,1025,0.9762005389178241,1025,0.9677392578125,1025,0.9417803276909722,1025,1.092311107494213,1025,1.0573277452256944,1006,1.1910652669270834,491,1.8349330873842593,148,1.3007252785011574,148,1.2950141059027778,148,2.459268482349537,38,0.8576151982060185,38,0.8621600115740741,38,0.7912883391203703,6,0.8844875759548612,6,0.8833812572337963,6
